Tail_Number,AIRCRAFT_TYPE,INITIAL_AIRPORT,FIRST_OBSERVED_DEPARTURE,FlightDate,Flight_Number_Reporting_Airline,INITIAL_POSITION_METHOD
N252NN,ERJ175,GJT,2023-01-01 07:10:00-06:00,2023-01-01,4153,FIRST_OBSERVED_DEPARTURE_PROXY
N258NN,ERJ175,RAP,2023-01-01 07:10:00-06:00,2023-01-01,4233,FIRST_OBSERVED_DEPARTURE_PROXY
N768RD,ERJ170,MLI,2023-01-01 07:10:00-06:00,2023-01-01,3879,FIRST_OBSERVED_DEPARTURE_PROXY
N205NN,ERJ175,XNA,2023-01-01 07:15:00-06:00,2023-01-01,3921,FIRST_OBSERVED_DEPARTURE_PROXY
N670AE,ERJ145,PIA,2023-01-01 07:15:00-06:00,2023-01-01,3581,FIRST_OBSERVED_DEPARTURE_PROXY
N206NN,ERJ175,IND,2023-01-01 07:20:00-06:00,2023-01-01,3403,FIRST_OBSERVED_DEPARTURE_PROXY
N217NN,ERJ175,MSY,2023-01-01 07:33:00-06:00,2023-01-01,4219,FIRST_OBSERVED_DEPARTURE_PROXY
N909AE,ERJ145,AZO,2023-01-01 07:33:00-06:00,2023-01-01,3601,FIRST_OBSERVED_DEPARTURE_PROXY
N274NN,ERJ175,MIA,2023-01-01 07:35:00-06:00,2023-01-01,3300,FIRST_OBSERVED_DEPARTURE_PROXY
N221NN,ERJ175,MKE,2023-01-01 07:40:00-06:00,2023-01-01,3679,FIRST_OBSERVED_DEPARTURE_PROXY
N260NN,ERJ175,SGF,2023-01-01 07:45:00-06:00,2023-01-01,3822,FIRST_OBSERVED_DEPARTURE_PROXY
N202NN,ERJ175,XNA,2023-01-01 08:00:00-06:00,2023-01-01,3847,FIRST_OBSERVED_DEPARTURE_PROXY
N233NN,ERJ175,LIT,2023-01-01 08:00:00-06:00,2023-01-01,3589,FIRST_OBSERVED_DEPARTURE_PROXY
N663AR,ERJ145,ORD,2023-01-01 08:00:00-06:00,2023-01-01,3913,FIRST_OBSERVED_DEPARTURE_PROXY
N668HH,ERJ145,ORD,2023-01-01 08:00:00-06:00,2023-01-01,3894,FIRST_OBSERVED_DEPARTURE_PROXY
N931AE,ERJ145,ORD,2023-01-01 08:10:00-06:00,2023-01-01,3648,FIRST_OBSERVED_DEPARTURE_PROXY
N272NN,ERJ175,MRY,2023-01-01 08:16:00-06:00,2023-01-01,3655,FIRST_OBSERVED_DEPARTURE_PROXY
N761RW,ERJ170,ALB,2023-01-01 09:00:00-06:00,2023-01-01,3612,FIRST_OBSERVED_DEPARTURE_PROXY
N227NN,ERJ175,SGF,2023-01-01 09:15:00-06:00,2023-01-01,4083,FIRST_OBSERVED_DEPARTURE_PROXY
N273NN,ERJ175,MEM,2023-01-01 09:15:00-06:00,2023-01-01,3559,FIRST_OBSERVED_DEPARTURE_PROXY
N661JA,ERJ145,LSE,2023-01-01 09:15:00-06:00,2023-01-01,3929,FIRST_OBSERVED_DEPARTURE_PROXY
N935AE,ERJ145,FAR,2023-01-01 09:15:00-06:00,2023-01-01,3654,FIRST_OBSERVED_DEPARTURE_PROXY
N283NN,ERJ175,BGR,2023-01-01 09:16:00-06:00,2023-01-01,3373,FIRST_OBSERVED_DEPARTURE_PROXY
N226NN,ERJ175,XNA,2023-01-01 09:19:00-06:00,2023-01-01,3755,FIRST_OBSERVED_DEPARTURE_PROXY
N696AE,ERJ145,COU,2023-01-01 09:30:00-06:00,2023-01-01,3301,FIRST_OBSERVED_DEPARTURE_PROXY
N268NN,ERJ175,XNA,2023-01-01 09:31:00-06:00,2023-01-01,3839,FIRST_OBSERVED_DEPARTURE_PROXY
N212NN,ERJ175,BTR,2023-01-01 09:35:00-06:00,2023-01-01,3536,FIRST_OBSERVED_DEPARTURE_PROXY
N281NN,ERJ175,AUS,2023-01-01 09:39:00-06:00,2023-01-01,4069,FIRST_OBSERVED_DEPARTURE_PROXY
N243NN,ERJ175,SGF,2023-01-01 09:40:00-06:00,2023-01-01,3343,FIRST_OBSERVED_DEPARTURE_PROXY
N259NN,ERJ175,RST,2023-01-01 10:00:00-06:00,2023-01-01,3935,FIRST_OBSERVED_DEPARTURE_PROXY
N218NN,ERJ175,LIT,2023-01-01 10:14:00-06:00,2023-01-01,3850,FIRST_OBSERVED_DEPARTURE_PROXY
N766JM,ERJ170,ATW,2023-01-01 10:15:00-06:00,2023-01-01,3548,FIRST_OBSERVED_DEPARTURE_PROXY
N302RN,ERJ175,CRP,2023-01-01 10:21:00-06:00,2023-01-01,3479,FIRST_OBSERVED_DEPARTURE_PROXY
N215NN,ERJ175,LBB,2023-01-01 10:22:00-06:00,2023-01-01,3600,FIRST_OBSERVED_DEPARTURE_PROXY
N262NN,ERJ175,SJT,2023-01-01 10:23:00-06:00,2023-01-01,3401,FIRST_OBSERVED_DEPARTURE_PROXY
N762DT,ERJ170,XNA,2023-01-01 10:24:00-06:00,2023-01-01,3834,FIRST_OBSERVED_DEPARTURE_PROXY
N282NN,ERJ175,DFW,2023-01-01 10:30:00-06:00,2023-01-01,3431,FIRST_OBSERVED_DEPARTURE_PROXY
N228NN,ERJ175,LFT,2023-01-01 10:36:00-06:00,2023-01-01,4163,FIRST_OBSERVED_DEPARTURE_PROXY
N204NN,ERJ175,DFW,2023-01-01 10:40:00-06:00,2023-01-01,3467,FIRST_OBSERVED_DEPARTURE_PROXY
N213NN,ERJ175,OMA,2023-01-01 10:41:00-06:00,2023-01-01,3943,FIRST_OBSERVED_DEPARTURE_PROXY
N248NN,ERJ175,CMH,2023-01-01 10:41:00-06:00,2023-01-01,4056,FIRST_OBSERVED_DEPARTURE_PROXY
N271NN,ERJ175,DSM,2023-01-01 10:41:00-06:00,2023-01-01,3346,FIRST_OBSERVED_DEPARTURE_PROXY
N265NN,ERJ175,JAN,2023-01-01 10:43:00-06:00,2023-01-01,3369,FIRST_OBSERVED_DEPARTURE_PROXY
N216NN,ERJ175,STL,2023-01-01 10:50:00-06:00,2023-01-01,3739,FIRST_OBSERVED_DEPARTURE_PROXY
N224NN,ERJ175,HRL,2023-01-01 11:10:00-06:00,2023-01-01,3571,FIRST_OBSERVED_DEPARTURE_PROXY
N300LK,ERJ175,IND,2023-01-01 11:15:00-06:00,2023-01-01,4048,FIRST_OBSERVED_DEPARTURE_PROXY
N760MQ,ERJ170,DAY,2023-01-01 11:15:00-06:00,2023-01-01,3538,FIRST_OBSERVED_DEPARTURE_PROXY
N203NN,ERJ175,SGF,2023-01-01 11:16:00-06:00,2023-01-01,3387,FIRST_OBSERVED_DEPARTURE_PROXY
N291NN,ERJ175,GRR,2023-01-01 11:17:00-06:00,2023-01-01,3329,FIRST_OBSERVED_DEPARTURE_PROXY
N925AE,ERJ145,BMI,2023-01-01 11:20:00-06:00,2023-01-01,3722,FIRST_OBSERVED_DEPARTURE_PROXY
N201NN,ERJ175,CVG,2023-01-01 11:30:00-06:00,2023-01-01,3603,FIRST_OBSERVED_DEPARTURE_PROXY
N253NN,ERJ175,DFW,2023-01-01 11:31:00-06:00,2023-01-01,4095,FIRST_OBSERVED_DEPARTURE_PROXY
N293NN,ERJ175,MHK,2023-01-01 11:43:00-06:00,2023-01-01,3433,FIRST_OBSERVED_DEPARTURE_PROXY
N290NN,ERJ175,ELP,2023-01-01 11:46:00-06:00,2023-01-01,4232,FIRST_OBSERVED_DEPARTURE_PROXY
N247NN,ERJ175,LBB,2023-01-01 12:30:00-06:00,2023-01-01,3814,FIRST_OBSERVED_DEPARTURE_PROXY
N245NN,ERJ175,DSM,2023-01-01 12:42:00-06:00,2023-01-01,3447,FIRST_OBSERVED_DEPARTURE_PROXY
N239NN,ERJ175,GJT,2023-01-01 12:45:00-06:00,2023-01-01,3444,FIRST_OBSERVED_DEPARTURE_PROXY
N763CC,ERJ170,ORD,2023-01-01 12:55:00-06:00,2023-01-01,3787,FIRST_OBSERVED_DEPARTURE_PROXY
N933JN,ERJ145,ORD,2023-01-01 13:09:00-06:00,2023-01-01,3825,FIRST_OBSERVED_DEPARTURE_PROXY
N613AE,ERJ145,ORD,2023-01-01 13:11:00-06:00,2023-01-01,4223,FIRST_OBSERVED_DEPARTURE_PROXY
N267NN,ERJ175,ORD,2023-01-01 13:17:00-06:00,2023-01-01,4218,FIRST_OBSERVED_DEPARTURE_PROXY
N275NN,ERJ175,CVG,2023-01-01 14:09:00-06:00,2023-01-01,4243,FIRST_OBSERVED_DEPARTURE_PROXY
N662EH,ERJ145,CMI,2023-01-01 14:30:00-06:00,2023-01-01,3757,FIRST_OBSERVED_DEPARTURE_PROXY
N269NN,ERJ175,DFW,2023-01-01 14:35:00-06:00,2023-01-01,3672,FIRST_OBSERVED_DEPARTURE_PROXY
N280NN,ERJ175,DFW,2023-01-01 17:11:00-06:00,2023-01-01,4185,FIRST_OBSERVED_DEPARTURE_PROXY
N908AE,ERJ145,ORD,2023-01-01 19:20:00-06:00,2023-01-01,3532,FIRST_OBSERVED_DEPARTURE_PROXY
N287NN,ERJ175,MIA,2023-01-01 20:10:00-06:00,2023-01-01,3634,FIRST_OBSERVED_DEPARTURE_PROXY
N235NN,ERJ175,DFW,2023-01-02 08:37:00-06:00,2023-01-02,4186,FIRST_OBSERVED_DEPARTURE_PROXY
N941LT,ERJ145,ORD,2023-01-02 13:49:00-06:00,2023-01-02,3933,FIRST_OBSERVED_DEPARTURE_PROXY
N250NN,ERJ175,DFW,2023-01-02 14:25:00-06:00,2023-01-02,3692,FIRST_OBSERVED_DEPARTURE_PROXY
N249NN,ERJ175,DFW,2023-01-02 17:36:00-06:00,2023-01-02,3616,FIRST_OBSERVED_DEPARTURE_PROXY
N266NN,ERJ175,DFW,2023-01-02 18:47:00-06:00,2023-01-02,4090,FIRST_OBSERVED_DEPARTURE_PROXY
N299JJ,ERJ175,MIA,2023-01-02 20:10:00-06:00,2023-01-02,3634,FIRST_OBSERVED_DEPARTURE_PROXY
N619AE,ERJ145,ORD,2023-01-04 19:30:00-06:00,2023-01-04,3989,FIRST_OBSERVED_DEPARTURE_PROXY
N923AE,ERJ145,MQT,2023-01-05 05:37:00-06:00,2023-01-05,4225,FIRST_OBSERVED_DEPARTURE_PROXY
N303DD,ERJ175,ABI,2023-01-05 12:31:00-06:00,2023-01-05,4192,FIRST_OBSERVED_DEPARTURE_PROXY
N304KM,ERJ175,DFW,2023-01-05 14:35:00-06:00,2023-01-05,3672,FIRST_OBSERVED_DEPARTURE_PROXY
N305CL,ERJ175,ORD,2023-01-06 18:05:00-06:00,2023-01-06,3595,FIRST_OBSERVED_DEPARTURE_PROXY
N264NN,ERJ175,DFW,2023-01-10 12:27:00-06:00,2023-01-10,3398,FIRST_OBSERVED_DEPARTURE_PROXY
N255NN,ERJ175,ABI,2023-01-18 08:20:00-06:00,2023-01-18,3632,FIRST_OBSERVED_DEPARTURE_PROXY
N765ST,ERJ170,ORD,2023-01-26 16:51:00-06:00,2023-01-26,3428,FIRST_OBSERVED_DEPARTURE_PROXY
N251NN,ERJ175,ORD,2023-01-30 17:19:00-06:00,2023-01-30,4241,FIRST_OBSERVED_DEPARTURE_PROXY
